15.06, 57.87
15.07, 57.12
15.08, 56.59
15.09, 56.98
25.61, 86.67
25.62, 83.20
8.91, 40.49
25.63, 89.23
8.92, 40.32
2.11, 16.09
25.64, 83.50
8.93, 40.09
2.12, 16.16
46.04, 206.92
25.65, 91.91
8.94, 39.94
2.13, 16.21
25.66, 87.23
8.95, 40.58
2.14, 16.27
25.67, 85.25
8.96, 40.00
2.15, 16.32
46.07, 163.42
25.68, 85.04
8.97, 40.12
2.16, 16.37
46.08, 260.42
25.69, 88.71
8.98, 40.55
2.17, 16.45
46.09, 73.70
8.99, 41.22
2.18, 16.43
2.19, 16.47
77.06, 248.92
15.11, 59.53
15.12, 60.17
15.13, 57.14
15.14, 58.15
15.15, 57.17
15.16, 57.40
15.17, 55.98
15.18, 59.53
15.19, 57.31
25.71, 75.27
46.11, 206.92
25.72, 106.22
2.21, 16.50
25.73, 84.09
2.22, 16.61
25.74, 78.63
25.75, 82.43
2.23, 16.56
46.15, 193.92
2.24, 16.65
25.76, 81.60
25.77, 87.56
2.25, 16.71
46.17, 123.30
25.78, 82.65
2.26, 16.74
46.18, 177.80
25.79, 89.16
2.27, 16.71
2.28, 16.75
2.29, 16.77
23.00, 76.26
23.10, 76.79
23.20, 80.80
23.30, 75.67
23.40, 79.70
23.50, 78.23
23.60, 80.18
23.70, 83.15
23.80, 79.62
23.90, 82.48
56.78, 461.76
15.21, 57.36
15.22, 59.33
15.23, 58.25
15.24, 57.65
15.25, 58.99
15.26, 59.80
15.27, 58.65
15.28, 59.03
15.29, 57.40
87.77, 266.52
60.61, 256.92
118.32, 316.00
25.81, 91.58
25.82, 80.08
2.31, 16.98
25.83, 99.69
2.32, 16.91
25.84, 90.73
25.85, 72.30
2.33, 16.97
46.25, 155.60
60.66, 352.42
2.34, 17.01
25.86, 100.41
46.26, 192.80
2.35, 17.05
25.87, 90.58
2.36, 17.11
25.88, 98.66
2.37, 17.06
25.89, 106.25
46.29, 148.04
2.38, 17.12
2.39, 17.26
77.24, 241.80
50.04, 315.96
56.88, 216.90
15.31, 57.97
15.32, 58.68
15.33, 58.82
15.34, 59.58
15.35, 60.52
15.36, 60.46
15.37, 56.14
15.38, 58.85
15.39, 58.65
25.91, 92.47
81.08, 386.30
46.31, 73.30
25.92, 80.39
46.32, 126.80
25.93, 82.39
2.41, 17.32
25.94, 81.89
2.42, 17.38
25.95, 93.69
2.43, 17.33
25.96, 80.28
2.44, 17.43
60.77, 349.70
25.97, 93.53
2.45, 17.50
46.37, 211.10
25.98, 86.53
2.46, 17.51
25.99, 116.70
2.47, 17.59
2.48, 17.59
2.49, 17.47
50.14, 164.42
50.15, 313.44
62.40, 198.04
62.50, 277.90
56.99, 363.65
50.18, 210.96
15.41, 58.41
15.42, 58.20
62.80, 223.04
15.43, 59.25
62.90, 345.04
15.44, 59.79
15.45, 59.16
15.46, 60.04
15.47, 58.75
15.48, 59.04
15.49, 58.41
60.83, 210.38
2.51, 17.74
2.52, 17.76
46.44, 137.12
2.53, 17.69
46.45, 232.56
2.54, 17.81
46.46, 216.15
2.55, 17.71
2.56, 17.91
46.48, 205.92
2.57, 17.82
46.49, 122.30
2.58, 17.95
2.59, 17.94
50.23, 175.30
50.24, 308.54
77.45, 299.79
15.51, 59.74
15.52, 60.32
15.53, 62.78
15.54, 58.67
15.55, 59.23
15.56, 59.59
15.57, 59.60
15.58, 58.67
15.59, 60.60
10.00, 44.82
10.10, 44.89
10.20, 45.25
10.30, 45.24
10.40, 45.95
10.50, 45.70
10.60, 46.14
10.70, 45.75
10.80, 46.22
10.90, 46.37
46.52, 223.54
2.61, 17.97
60.94, 328.92
2.62, 18.15
2.63, 18.19
46.55, 223.04
60.96, 348.77
2.64, 18.10
2.65, 18.12
60.98, 233.54
2.66, 18.21
46.58, 82.80
2.67, 18.23
46.59, 156.92
2.68, 18.39
2.69, 18.32
50.32, 170.80
1.00, 11.78
1.10, 12.24
50.36, 189.90
1.20, 12.67
1.30, 13.12
50.38, 191.30
15.61, 60.21
1.40, 13.52
36.01, 193.80
15.62, 60.05
1.50, 13.95
15.63, 60.02
1.60, 14.35
36.03, 160.46
15.64, 60.99
1.70, 14.73
36.04, 485.42
15.65, 60.56
1.80, 15.10
36.05, 126.88
15.66, 58.10
1.90, 15.48
36.06, 165.79
15.67, 59.36
36.07, 134.16
15.68, 60.41
36.08, 180.36
15.69, 58.90
36.09, 151.23
28.00, 84.63
28.10, 90.63
28.20, 81.77
28.30, 83.55
28.40, 86.47
28.50, 91.49
28.60, 94.11
28.70, 94.39
28.80, 84.38
28.90, 94.74
2.71, 18.39
46.62, 168.04
2.72, 18.47
67.03, 360.36
2.73, 18.53
2.74, 18.55
2.75, 18.51
2.76, 18.67
46.68, 189.30
2.77, 18.65
2.78, 18.69
2.79, 18.74
50.42, 219.58
50.46, 245.56
15.71, 59.92
15.72, 60.86
36.12, 178.31
15.73, 60.71
36.13, 65.92
15.74, 61.60
36.14, 201.92
15.75, 61.26
15.76, 60.41
36.16, 165.79
15.77, 59.98
36.17, 157.62
15.78, 60.02
15.79, 60.81
36.19, 148.79
46.71, 223.54
46.72, 307.42
2.81, 18.73
46.73, 163.47
2.82, 18.77
2.83, 18.84
2.84, 18.81
46.76, 312.04
2.85, 18.97
2.86, 18.97
2.87, 18.98
2.88, 18.93
2.89, 19.16
50.51, 183.65
15.81, 59.43
36.21, 150.31
15.82, 61.06
36.22, 179.68
15.83, 62.13
36.23, 116.59
15.84, 59.67
36.24, 158.04
15.85, 62.35
36.25, 153.30
15.86, 61.99
36.26, 156.62
15.87, 61.33
36.27, 152.52
15.88, 60.59
36.28, 139.21
15.89, 59.57
36.29, 136.23
67.40, 441.04
67.60, 361.10
67.90, 336.35
81.58, 355.30
67.21, 305.00
46.82, 212.92
2.91, 19.09
46.83, 150.30
40.02, 178.04
2.92, 19.19
2.93, 19.32
2.94, 19.19
2.95, 19.42
40.06, 354.80
2.96, 19.43
40.07, 202.75
2.97, 19.30
2.98, 19.31
40.09, 137.86
2.99, 19.48
15.00, 59.26
15.10, 57.80
15.20, 59.12
15.30, 60.95
15.40, 60.46
15.50, 60.83
15.60, 60.67
15.70, 62.10
15.80, 63.63
15.90, 63.04
50.61, 163.04
50.63, 333.92
50.65, 173.92
15.91, 61.04
36.31, 124.19
15.92, 63.24
36.32, 143.41
15.93, 61.62
36.33, 0.00
15.94, 62.12
36.34, 141.46
15.95, 63.78
15.96, 62.01
36.35, 214.92
36.36, 143.08
15.97, 62.21
36.37, 127.04
15.98, 61.47
36.38, 160.80
15.99, 62.83
40.11, 151.92
40.13, 147.92
9.01, 40.42
40.14, 183.80
9.02, 40.94
40.15, 188.64
9.03, 40.42
40.16, 172.80
46.97, 337.77
9.04, 40.88
9.05, 40.88
46.99, 254.30
40.18, 282.50
9.06, 40.74
9.07, 40.96
9.08, 41.39
9.09, 40.96
77.91, 389.30
50.79, 337.70
36.42, 183.03
36.43, 123.39
36.44, 103.30
36.45, 174.30
36.46, 178.58
36.47, 146.25
36.48, 178.54
36.49, 104.80
6.00, 28.49
6.10, 28.78
6.20, 29.04
6.30, 29.43
6.40, 29.78
6.50, 29.98
6.60, 30.32
6.70, 30.94
6.80, 30.97
40.21, 129.82
6.90, 31.40
9.11, 41.02
40.24, 133.14
9.12, 41.13
9.13, 41.63
40.25, 111.05
9.14, 41.07
67.47, 293.54
40.27, 180.75
9.15, 41.46
40.28, 160.28
9.16, 41.68
40.29, 139.04
67.49, 488.30
9.17, 40.98
9.18, 41.40
9.19, 41.98
54.10, 197.34
